scenario_id,feature_rows,loss_mean_pct,loss_min_pct,loss_max_pct,good_rows,critical_rows
run02,592,0.0,0.0,0.0,592,0
run03,593,0.034,0.0,2.5,593,0
run04,606,2.011,0.0,59.524,561,45
run05,1026,4.465,0.0,94.444,928,98
run13,594,0.0,0.0,0.0,594,0
run14,980,0.0,0.0,0.0,980,0
run15,602,0.0,0.0,0.0,602,0
run22,1239,3.74,0.0,52.632,1065,174
run23,644,7.527,0.0,29.268,452,192
run24,278,14.948,7.368,23.469,11,267
run25,177,24.995,18.644,32.558,0,177
run50,763,22.456,5.263,43.902,16,747
run51,865,31.279,10.256,62.791,0,865
run58,659,10.072,0.0,30.769,337,322
run59,291,17.454,10.377,23.585,0,291
run60,198,27.466,22.481,32.716,0,198
run61,734,18.723,2.564,52.5,45,689
run62,386,34.982,20.833,46.739,0,386
run63,284,47.439,37.5,57.48,0,284
